model_card_id,model_card
146,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid-xt
147,https://huggingface.co/stabilityai/stablelm-2-1_6b
148,https://huggingface.co/stabilityai/sv3d
149,https://huggingface.co/t5-base
150,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
151,https://huggingface.co/tiiuae/falcon-180B
152,https://huggingface.co/tiiuae/falcon-40b
153,https://huggingface.co/time-series-foundation-models/Lag-Llama
154,https://huggingface.co/togethercomputer/Llama-2-7B-32K-Instruct
155,https://huggingface.co/togethercomputer/StripedHyena-Hessian-7B
156,https://huggingface.co/togethercomputer/StripedHyena-Nous-7B
157,https://huggingface.co/vilm/vulture-180b
158,https://huggingface.co/wenge-research/yayi2-30b
159,https://huggingface.co/xverse/XVERSE-65B
160,https://huggingface.co/zjunlp/OceanGPT-7b
161,https://inceptioniai.org/jais/docs/Technicalpaper.pdf
162,https://mystic.the-eye.eu/public/AI/models/GPT-NeoX-20B/20B_model_card.md
163,https://openreview.net/pdf?id=1ikK0kHjvj#appendix.B
164,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf
165,https://www-files.anthropic.com/production/images/Model-Card-Claude-2.pdf
166,https://x.ai/model-card/
167,unknown
